Time;GPS_Lat;GPS_Long;CarSpeed;pBrakeF;pBrakeR;tWater;tOil;mFuelConsLap;Logger_Lap;aSteering;RPM;Gear;GPS_Speed;VBatt;rPedal;tAir;WSpeed_FL;WSpeed_FR;DistanceLap;DistanceFull;BrakeBalance;pOil;
0.000;13,0009137;79,9898215;149,4;0,5;0,8;96,5;109,1;1,402;0;1,9;5507;4;147,0;14,45;99,8;43,2;149,2;149,4;7161;363478;40,0;4,38;
0.005;13,0009137;79,9898215;149,5;0,5;0,8;96,5;109,1;1,402;0;1,9;5510;4;147,0;14,45;99,8;43,2;149,2;149,5;7161;363478;40,0;4,38;
0.010;13,0009137;79,9898215;149,5;0,5;0,8;96,5;109,1;1,402;0;1,9;5514;4;147,0;14,45;99,8;43,2;149,3;149,5;7161;363478;40,0;4,38;
0.015;13,0009137;79,9898215;149,6;0,5;0,8;96,5;109,1;1,402;0;1,9;5509;4;147,0;14,45;99,8;43,2;149,4;149,6;7161;363478;40,0;4,38;
0.020;13,0009018;79,9898125;149,7;0,5;0,8;96,5;109,1;1,402;0;1,5;5515;4;147,0;14,46;99,7;43,2;149,5;149,7;7161;363478;40,0;4,38;
0.025;13,0009018;79,9898125;149,8;0,5;0,8;96,5;109,1;1,402;0;1,5;5513;4;147,0;14,46;99,7;43,2;149,5;149,8;7161;363478;40,0;4,38;
0.030;13,0009018;79,9898125;149,8;0,6;0,7;96,4;108,5;1,403;0;1,5;5514;4;147,0;14,46;99,7;43,2;149,6;149,8;7163;363478;46,3;4,38;
0.035;13,0009018;79,9898125;149,9;0,6;0,7;96,4;108,5;1,403;0;1,5;5516;4;147,0;14,46;99,7;43,2;149,7;149,9;7163;363478;46,3;4,38;
0.040;13,0009018;79,9898125;150,0;0,6;0,7;96,4;108,5;1,403;0;1,8;5515;4;147,0;14,45;99,7;43,3;149,8;150,0;7163;363478;46,3;4,38;
0.045;13,0009018;79,9898125;150,0;0,6;0,7;96,4;108,5;1,403;0;1,8;5512;4;147,0;14,45;99,7;43,3;149,8;150,0;7163;363478;46,3;4,38;
0.050;13,0009018;79,9898125;150,1;0,6;0,7;96,4;108,5;1,403;0;1,8;5511;4;147,0;14,45;99,7;43,3;149,9;150,1;7163;363478;46,3;4,38;
0.055;13,0009018;79,9898125;150,2;0,6;0,7;96,4;108,5;1,403;0;1,8;5512;4;147,0;14,45;99,7;43,3;149,9;150,2;7163;363478;46,3;4,38;
0.060;13,0008898;79,9898032;150,2;0,6;0,7;96,4;108,5;1,403;0;1,7;5515;4;148,0;14,44;99,8;43,3;150,0;150,2;7163;363478;46,3;4,37;
