Time,GPS_Lat,GPS_Long,CarSpeed,pBrakeF,pBrakeR,tWater,tOil,mFuelConsLap,Logger_Lap,aSteering,RPM,Gear,GPS_Speed,VBatt,rPedal,tAir,WSpeed_FL,WSpeed_FR,DistanceLap,DistanceFull,BrakeBalance,pOil,PBX_LP_Fuel_Current,
0.000,13.0008902,79.9898437,153.1,-0.1,-0.1,105.0,119.1,1.052,6,3.8,5635,4,151.0,14.41,101.7,47.1,153.1,152.9,3637,1925523,-1.0,3.97,12,
0.005,13.0008902,79.9898437,153.2,-0.1,-0.1,105.0,119.1,1.052,6,3.8,5635,4,151.0,14.41,101.7,47.1,153.2,152.9,3637,1925523,-1.0,3.97,12,
0.010,13.0008902,79.9898437,153.2,-0.1,-0.1,105.0,119.1,1.052,6,3.5,5641,4,151.0,14.42,101.8,47.1,153.2,153.0,3637,1925523,-1.0,3.97,12,
0.015,13.0008902,79.9898437,153.3,-0.1,-0.1,105.0,119.1,1.052,6,3.5,5645,4,151.0,14.42,101.8,47.1,153.3,153.1,3637,1925523,-1.0,3.97,12,
0.020,13.0008902,79.9898437,153.3,-0.1,-0.1,105.0,119.1,1.052,6,3.5,5648,4,151.0,14.42,101.8,47.1,153.3,153.2,3637,1925523,-1.0,3.97,12,
0.025,13.0008902,79.9898437,153.4,-0.1,-0.1,105.0,119.1,1.052,6,3.5,5649,4,151.0,14.42,101.8,47.1,153.4,153.2,3637,1925523,-1.0,3.97,12,
0.030,13.0008902,79.9898437,153.5,-0.1,-0.1,105.0,119.1,1.052,6,3.9,5639,4,151.0,14.45,101.8,47.1,153.5,153.2,3637,1925523,-1.0,3.97,12,
0.035,13.0008902,79.9898437,153.5,-0.1,-0.1,105.0,119.1,1.052,6,3.9,5639,4,151.0,14.45,101.8,47.1,153.5,153.3,3637,1925523,-1.0,3.97,12,
0.040,13.0008779,79.9898343,153.6,-0.3,-0.3,104.6,118.5,1.053,6,3.9,5643,4,152.0,14.45,101.8,47.1,153.6,153.4,3639,1925523,-1.0,3.97,12,
0.045,13.0008779,79.9898343,153.6,-0.3,-0.3,104.6,118.5,1.053,6,3.9,5649,4,152.0,14.45,101.8,47.1,153.6,153.5,3639,1925523,-1.0,3.97,12,
0.050,13.0008779,79.9898343,153.7,-0.3,-0.3,104.6,118.5,1.053,6,3.9,5648,4,152.0,14.46,101.7,47.1,153.7,153.5,3639,1925523,-1.0,3.98,12,
0.055,13.0008779,79.9898343,153.8,-0.3,-0.3,104.6,118.5,1.053,6,3.9,5649,4,152.0,14.46,101.7,47.1,153.8,153.6,3639,1925523,-1.0,3.98,12,
0.060,13.0008779,79.9898343,153.8,-0.3,-0.3,104.6,118.5,1.053,6,3.9,5648,4,152.0,14.46,101.7,47.1,153.8,153.6,3639,1925523,-1.0,3.98,12,
0.065,13.0008779,79.9898343,153.9,-0.3,-0.3,104.6,118.5,1.053,6,3.9,5650,4,152.0,14.46,101.7,47.1,153.9,153.7,3639,1925523,-1.0,3.98,12,
0.070,13.0008779,79.9898343,153.9,-0.3,-0.3,104.6,118.5,1.053,6,3.7,5649,4,152.0,14.44,101.8,47.1,153.9,153.7,3639,1925523,-1.0,3.99,12,
0.075,13.0008779,79.9898343,154.0,-0.3,-0.3,104.6,118.5,1.053,6,3.7,5651,4,152.0,14.44,101.8,47.1,154.0,153.8,3639,1925523,-1.0,3.99,12,
