Time	CarSpeed	GPS_LAT	pBrakeF	pBrakeR	pOil	pFuel	tOil	tAir	Vbatt_Corr	tWater	mFuelCons1	WSpeed_FL	WSpeed_FR	rPedal	DistanceLap	
0:00	208,0	0,0000000	0,1	0,1	5,32	5,36	100,3	46,5	14,3	73,1	2,057	207,6	208,5	100,0	5141	
0:02	207,8	0,0000000	0,0	0,0	5,17	5,70	100,3	46,5	14,2	73,1	2,057	208,3	207,3	100,0	5143	
0:04	208,4	0,0000000	0,0	0,0	4,98	5,54	100,3	46,5	14,1	73,1	2,057	207,9	208,8	100,1	5143	
0:06	208,3	0,0000000	0,1	0,1	4,79	5,85	100,3	46,5	14,2	73,1	2,057	207,7	208,9	100,1	5143	
0:08	208,0	0,0000000	0,1	0,1	4,74	5,85	100,3	46,5	14,1	73,1	2,059	208,6	207,4	100,1	5146	
0:10	208,5	0,0000000	-0,1	0,1	4,90	5,60	100,3	46,5	14,1	73,1	2,059	208,1	208,8	100,0	5146	
0:12	208,3	0,0000000	0,0	0,0	5,20	5,35	100,3	46,5	14,1	73,1	2,059	207,8	208,7	100,0	5149	
0:14	208,3	0,0000000	0,0	0,0	5,51	5,51	100,3	46,5	14,1	73,1	2,059	208,9	207,6	100,1	5149	
0:16	208,9	0,0000000	-0,1	0,0	5,72	5,86	100,3	46,5	14,2	73,1	2,059	208,4	209,3	100,1	5149	
0:18	208,9	0,0000000	0,0	0,0	5,78	5,54	100,3	46,5	14,1	73,1	2,061	208,2	209,6	99,9	2	
0:20	208,8	0,0000000	0,0	0,0	5,69	6,07	100,3	46,5	14,2	73,1	2,061	209,4	208,2	100,1	2	
0:22	209,2	0,0000000	0,0	0,0	5,51	5,51	100,5	46,6	14,1	72,8	2,061	208,7	209,7	99,9	5	
0:24	209,0	0,0000000	-0,1	0,0	5,26	5,50	100,5	46,6	14,2	72,8	2,061	208,5	209,4	99,9	5	
0:26	209,0	0,0000000	-0,1	0,0	4,97	5,49	100,5	46,6	14,2	72,8	2,061	209,6	208,3	100,0	5	
0:28	209,5	0,0000000	0,0	0,1	4,71	5,75	100,5	46,6	14,1	72,8	2,063	209,3	209,6	100,0	8	
0:30	209,5	0,0000000	0,1	0,1	4,57	5,97	100,5	46,6	14,1	72,8	2,063	208,9	210,1	100,2	8	
0:32	209,4	0,0000000	0,1	0,1	4,62	5,90	100,5	46,6	14,2	72,8	2,063	210,1	208,7	100,2	11	
0:34	209,9	0,0000000	0,0	0,1	4,85	5,85	100,5	46,6	14,0	72,8	2,063	209,4	210,4	100,0	11	
0:36	209,9	0,0000000	-0,1	0,0	5,19	5,67	100,5	46,6	14,1	72,8	2,063	209,3	210,5	100,1	11	
0:38	209,8	0,0000000	0,0	0,0	5,54	5,76	100,5	46,6	14,1	72,8	2,065	210,4	209,1	100,1	14	
0:40	210,2	0,0000000	0,0	0,0	5,80	5,51	100,5	46,6	14,1	72,8	2,065	210,0	210,4	100,0	14	
0:42	210,3	0,0000000	-0,1	0,1	5,91	5,85	100,5	46,6	14,2	73,1	2,065	209,6	211,1	100,0	17	
0:44	210,2	0,0000000	0,0	0,0	5,89	5,80	100,5	46,6	14,1	73,1	2,065	210,8	209,7	100,1	17	
0:46	210,6	0,0000000	0,1	0,0	5,77	5,96	100,5	46,6	14,2	73,1	2,065	210,4	210,8	100,0	17	
0:48	210,8	0,0000000	0,0	0,1	5,60	5,86	100,5	46,6	14,1	73,1	2,067	210,1	211,4	100,0	20	
0:50	210,6	0,0000000	0,0	0,0	5,40	5,90	100,5	46,6	14,1	73,1	2,067	211,0	210,1	99,8	20	
0:52	210,9	0,0000000	0,1	0,1	5,19	5,73	100,5	46,6	14,2	73,1	2,067	210,7	211,1	99,9	22	
0:54	211,1	0,0000000	0,0	0,1	4,97	5,79	100,5	46,6	14,1	73,1	2,067	210,5	211,8	100,0	22	
0:56	211,0	0,0000000	0,0	0,0	4,78	5,66	100,5	46,6	14,2	73,1	2,067	211,4	210,5	100,0	22	
0:58	211,3	0,0000000	0,0	0,1	4,63	5,57	100,5	46,6	14,1	73,1	2,069	211,5	211,2	99,9	25	
0:60	211,6	0,0000000	-0,1	0,0	4,52	5,48	100,5	46,6	14,1	73,1	2,069	211,0	212,2	100,1	25	
0:62	211,4	0,0000000	0,0	0,1	4,46	5,51	100,8	46,7	14,2	73,1	2,069	211,6	211,1	100,1	28	
0:64	211,5	0,0000000	0,1	0,1	4,47	5,67	100,8	46,7	14,1	73,1	2,069	211,8	211,2	100,1	28	
0:66	211,7	0,0000000	-0,1	0,1	4,55	5,86	100,8	46,7	14,1	73,1	2,069	211,1	212,3	100,1	28	
0:68	211,6	0,0000000	0,0	0,1	4,69	5,82	100,8	46,7	14,2	73,1	2,071	211,8	211,4	100,1	31	
0:70	211,8	0,0000000	0,0	0,1	4,86	5,93	100,8	46,7	14,1	73,1	2,071	212,1	211,5	100,1	31	
0:72	212,1	0,0000000	0,0	0,1	5,05	5,88	100,8	46,7	14,1	73,1	2,071	211,5	212,6	100,2	34	
0:74	212,0	0,0000000	0,0	0,1	5,25	5,97	100,8	46,7	14,1	73,1	2,071	211,9	212,2	100,1	34	
0:76	212,0	0,0000000	0,2	0,1	5,43	5,89	100,8	46,7	14,1	73,1	2,071	212,4	211,6	100,0	34	
0:78	212,4	0,0000000	0,0	0,2	5,59	5,95	100,8	46,7	14,1	73,1	2,073	211,9	212,9	100,1	37	
0:80	212,5	0,0000000	0,1	0,2	5,71	5,89	100,8	46,7	14,1	73,1	2,073	212,2	212,8	100,3	37	
0:82	212,4	0,0000000	0,1	0,1	5,80	5,95	100,4	46,7	14,2	73,5	2,073	212,8	211,9	100,3	40	
0:84	212,7	0,0000000	0,0	0,2	5,86	5,90	100,4	46,7	14,1	73,5	2,073	212,3	213,1	100,0	40	
0:86	212,7	0,0000000	0,0	0,1	5,91	5,83	100,4	46,7	14,1	73,5	2,073	212,3	213,1	99,7	40	
0:88	212,8	0,0000000	0,0	0,1	5,94	5,86	100,4	46,7	14,1	73,5	2,075	213,2	212,5	99,9	43	
0:90	213,0	0,0000000	0,0	0,1	5,96	5,89	100,4	46,7	14,1	73,5	2,075	212,9	213,1	100,0	43	
0:92	213,3	0,0000000	0,0	0,1	5,96	5,91	100,4	46,7	14,1	73,5	2,075	212,6	213,9	100,1	46	
0:94	213,2	0,0000000	0,0	0,1	5,96	5,85	100,4	46,7	14,1	73,5	2,075	213,6	212,7	100,0	46	
0:96	213,5	0,0000000	-0,1	0,1	5,96	5,91	100,4	46,7	14,1	73,5	2,075	213,5	213,5	100,0	46	
0:98	213,7	0,0000000	-0,1	0,0	5,97	5,82	100,4	46,7	14,1	73,5	2,077	212,9	214,5	100,1	49	
1:00	213,4	0,0000000	-0,1	0,0	5,97	5,86	100,4	46,7	14,1	73,5	2,077	213,6	213,2	100,0	49	
1:02	213,7	0,0000000	-0,1	0,0	5,98	5,90	100,4	46,7	14,1	72,9	2,077	214,0	213,5	100,0	52	
1:04	213,9	0,0000000	0,0	0,0	5,98	5,94	100,4	46,7	14,2	72,9	2,077	213,0	214,7	100,1	52	
1:06	213,7	0,0000000	0,0	0,1	5,99	5,86	100,4	46,7	14,1	72,9	2,077	213,9	213,6	100,0	52	
1:08	214,0	0,0000000	-0,1	0,2	5,99	5,90	100,4	46,7	14,1	72,9	2,080	214,4	213,5	100,1	55	
1:10	214,3	0,0000000	-0,1	0,1	5,98	5,98	100,4	46,7	14,1	72,9	2,080	213,6	215,1	100,3	55	
1:12	214,1	0,0000000	0,0	0,0	5,98	5,87	100,4	46,7	14,1	72,9	2,080	214,0	214,3	100,1	58	
1:14	214,1	0,0000000	0,0	0,1	5,97	5,87	100,4	46,7	14,1	72,9	2,080	214,7	213,5	100,2	58	
1:16	214,6	0,0000000	0,0	0,1	5,96	5,89	100,4	46,7	14,1	72,9	2,080	213,8	215,3	100,1	58	
1:18	214,4	0,0000000	0,0	0,2	5,94	5,86	100,4	46,7	14,2	72,9	2,082	214,0	214,8	100,2	61	
1:20	214,5	0,0000000	0,0	0,1	5,92	5,93	100,4	46,7	14,2	72,9	2,082	215,2	213,8	100,1	61	
1:22	214,9	0,0000000	0,0	0,1	5,88	5,86	100,8	46,7	14,1	73,2	2,082	214,4	215,5	100,1	64	
1:24	215,0	0,0000000	0,2	0,1	5,81	5,74	100,8	46,7	14,2	73,2	2,082	214,4	215,6	100,1	64	
1:26	214,9	0,0000000	0,4	0,2	5,70	5,73	100,8	46,7	14,1	73,2	2,082	215,4	214,4	100,0	64	
1:28	215,2	0,0000000	0,5	0,4	5,56	5,67	100,8	46,7	14,1	73,2	2,084	215,0	215,5	100,0	67	
1:30	215,3	0,0000000	0,9	0,6	5,41	5,56	100,8	46,7	14,2	73,2	2,084	214,5	216,1	100,0	67	
1:32	215,0	0,0000000	2,0	1,0	5,24	5,49	100,8	46,7	14,2	73,2	2,084	215,3	214,7	100,0	70	
1:34	215,3	0,0000000	3,3	1,6	5,04	5,65	100,8	46,7	14,1	73,2	2,084	215,4	215,2	100,0	70	
1:36	215,4	0,0000000	5,2	2,3	4,84	5,77	100,8	46,7	14,2	73,2	2,084	214,7	216,1	100,1	70	
1:38	215,4	0,0000000	6,4	3,2	4,66	5,68	100,8	46,7	14,1	73,2	2,086	215,6	215,2	100,0	73	
1:40	215,2	0,0000000	7,3	4,0	4,51	5,79	100,8	46,7	14,1	73,2	2,086	215,6	214,8	99,9	73	
1:42	215,4	0,0000000	9,2	4,8	4,42	5,99	100,7	46,7	14,1	73,5	2,086	214,8	215,9	100,1	76	
1:44	215,2	0,0000000	9,9	5,6	4,39	5,76	100,7	46,7	14,1	73,5	2,086	215,1	215,3	100,1	76	
1:46	214,9	0,0000000	11,2	6,6	4,42	5,71	100,7	46,7	14,2	73,5	2,086	215,4	214,5	99,9	76	
1:48	215,0	0,0000000	12,5	7,5	4,50	5,92	100,7	46,7	14,1	73,5	2,088	214,5	215,5	100,1	79	
1:50	214,9	0,0000000	13,9	8,1	4,63	5,79	100,7	46,7	14,1	73,5	2,088	214,5	215,3	100,1	79	
1:52	214,7	0,0000000	14,1	8,5	4,80	5,79	100,7	46,7	14,2	73,5	2,088	215,1	214,3	100,0	82	
1:54	214,6	0,0000000	14,6	8,8	4,98	5,69	100,7	46,7	14,1	73,5	2,088	214,3	214,9	100,1	82	
1:56	214,5	0,0000000	15,8	9,2	5,16	5,58	100,7	46,7	14,1	73,5	2,088	213,9	215,1	100,0	82	
1:58	214,1	0,0000000	16,5	9,7	5,31	5,70	100,7	46,7	14,2	73,5	2,090	214,5	213,7	100,0	85	
1:60	214,0	0,0000000	16,6	10,0	5,42	5,79	100,7	46,7	14,0	73,5	2,090	214,0	213,9	100,1	85	
1:62	213,9	0,0000000	17,7	10,4	5,51	5,66	100,8	46,7	14,1	72,9	2,090	213,3	214,5	100,0	88	
1:64	213,5	0,0000000	18,4	10,7	5,58	5,47	100,8	46,7	14,2	72,9	2,090	213,8	213,3	100,1	88	
1:66	213,4	0,0000000	18,4	10,9	5,63	5,51	100,8	46,7	14,0	72,9	2,090	213,7	213,2	100,0	88	
1:68	213,5	0,0000000	19,1	11,4	5,66	5,45	100,8	46,7	14,2	72,9	2,092	212,9	214,0	100,1	91	
1:70	213,1	0,0000000	19,2	11,6	5,69	5,44	100,8	46,7	14,0	72,9	2,092	213,1	213,1	99,9	91	
1:72	212,8	0,0000000	19,0	11,6	5,70	5,47	100,8	46,7	14,1	72,9	2,092	213,2	212,4	100,1	94	
1:74	212,8	0,0000000	19,6	11,7	5,70	5,43	100,8	46,7	14,2	72,9	2,092	212,4	213,3	100,0	94	
1:76	212,5	0,0000000	19,5	11,9	5,69	5,51	100,8	46,7	14,0	72,9	2,092	212,2	212,8	100,1	94	
1:78	212,1	0,0000000	19,5	11,9	5,67	5,81	100,8	46,7	14,2	72,9	2,094	212,5	211,7	100,0	97	
1:80	211,9	0,0000000	19,8	12,1	5,66	5,90	100,8	46,7	14,1	72,9	2,094	211,5	212,4	100,0	97	
1:82	211,5	0,0000000	20,7	12,6	5,64	5,78	101,2	46,7	14,1	73,2	2,094	211,2	211,8	100,1	99	
1:84	211,2	0,0000000	20,9	12,8	5,61	5,65	101,2	46,7	14,1	73,2	2,094	211,6	210,7	100,0	99	
1:86	211,4	0,0000000	21,1	13,0	5,57	5,83	101,2	46,7	14,2	73,2	2,094	211,1	211,6	100,0	99	
1:88	211,1	0,0000000	21,8	13,3	5,52	5,94	101,2	46,7	14,1	73,2	2,096	210,6	211,7	100,1	102	
1:90	210,6	0,0000000	21,9	13,5	5,45	5,85	101,2	46,7	14,1	73,2	2,096	211,0	210,2	100,0	102	
1:92	210,4	0,0000000	22,0	13,8	5,36	5,90	101,2	46,7	14,1	73,2	2,096	210,2	210,7	100,1	105	
1:94	210,2	0,0000000	23,2	14,4	5,24	5,99	101,2	46,7	14,1	73,2	2,096	209,6	210,8	100,0	105	
1:96	209,7	0,0000000	23,7	14,8	5,09	5,60	101,2	46,7	14,2	73,2	2,096	210,0	209,4	100,0	105	
1:98	209,7	0,0000000	23,5	14,8	4,93	5,61	101,2	46,7	14,1	73,2	2,098	209,9	209,6	100,0	108	
2:00	209,5	0,0000000	23,7	14,9	4,76	5,46	101,2	46,7	14,2	73,2	2,098	208,9	210,1	99,8	108	
2:02	209,2	0,0000000	22,8	14,7	4,61	5,54	101,0	46,7	14,1	72,9	2,098	209,5	208,8	100,0	111	
2:04	209,2	0,0000000	22,4	14,4	4,54	5,82	101,0	46,7	14,2	72,9	2,098	209,0	209,4	100,2	111	
2:06	208,9	0,0000000	23,0	14,3	4,59	6,00	101,0	46,7	14,2	72,9	2,098	208,2	209,7	100,1	111	
2:08	208,3	0,0000000	22,2	14,1	4,78	5,85	101,0	46,7	14,1	72,9	2,101	208,6	208,0	100,0	114	
