Time	CarSpeed	GPS_LAT	pBrakeF	pBrakeR	pOil	pFuel	tOil	tAir	Vbatt_Corr	tWater	mFuelCons1	WSpeed_FL	WSpeed_FR	rPedal	DistanceLap	
0:00	212,2	0,0000000	0,1	0,1	4,27	5,75	124,6	51,0	14,1	85,0	17,853	212,1	212,3	100,0	5279	
0:02	212,5	0,0000000	0,0	0,1	4,24	5,68	124,6	51,0	14,1	85,0	17,855	212,1	212,8	100,0	5282	
0:04	211,1	0,0000000	-0,1	0,1	4,26	5,59	124,6	51,0	14,0	85,0	17,855	211,2	211,1	100,1	5282	
0:06	212,3	0,0000000	0,0	0,0	4,31	5,82	124,6	51,0	14,1	85,0	17,855	212,3	212,3	100,0	5285	
0:08	212,7	0,0000000	0,0	0,0	4,37	5,93	124,6	51,0	14,1	85,0	17,855	212,4	213,1	100,1	5285	
0:10	211,5	0,0000000	-0,1	0,0	4,44	6,00	124,6	51,0	14,1	85,0	17,855	211,4	211,5	99,9	5285	
0:12	212,2	0,0000000	-0,1	0,0	4,52	5,89	124,6	51,0	14,0	85,0	17,858	212,3	212,2	99,9	5288	
0:14	213,0	0,0000000	-0,1	0,0	4,60	6,01	124,6	51,0	14,1	85,0	17,858	212,7	213,4	100,1	5288	
0:16	211,9	0,0000000	0,0	0,0	4,66	6,00	124,6	51,0	14,1	85,0	17,858	211,8	212,0	100,1	5291	
0:18	212,7	0,0000000	0,0	0,0	4,69	5,99	124,6	51,0	14,0	85,0	17,858	212,7	212,6	100,1	5291	
0:20	213,5	0,0000000	0,0	0,0	4,70	6,00	124,6	51,0	14,1	85,0	17,858	213,3	213,8	100,1	5291	
0:22	212,4	0,0000000	-0,1	0,0	4,69	5,99	124,6	51,0	14,1	85,0	17,860	212,3	212,5	99,9	3	
0:24	212,4	0,0000000	0,0	0,0	4,68	5,82	124,6	51,0	14,1	85,0	17,860	212,6	212,2	100,1	3	
0:26	213,7	0,0000000	0,0	0,0	4,66	5,76	125,5	51,0	14,1	85,0	17,860	213,5	213,9	99,9	6	
0:28	212,8	0,0000000	0,0	0,0	4,64	5,56	125,5	51,0	14,1	85,0	17,860	212,6	213,0	100,0	6	
0:30	212,6	0,0000000	0,0	0,1	4,62	5,64	125,5	51,0	14,0	85,0	17,860	212,7	212,5	100,0	6	
0:32	214,1	0,0000000	0,0	0,0	4,61	5,67	125,5	51,0	14,1	85,0	17,862	213,9	214,2	99,9	9	
0:34	213,6	0,0000000	-0,1	0,0	4,59	5,96	125,5	51,0	14,1	85,0	17,862	213,3	213,8	100,0	9	
0:36	212,9	0,0000000	0,0	0,1	4,56	5,97	125,5	51,0	14,1	85,0	17,862	212,9	212,8	99,9	12	
0:38	214,3	0,0000000	0,0	0,0	4,51	5,95	125,5	51,0	14,0	85,0	17,862	214,1	214,4	99,9	12	
0:40	214,2	0,0000000	-0,1	0,0	4,45	5,91	125,5	51,0	14,1	85,0	17,862	213,9	214,5	99,9	12	
0:42	213,1	0,0000000	-0,1	0,0	4,38	5,90	125,5	51,0	14,0	85,0	17,864	213,1	213,0	100,1	15	
0:44	214,4	0,0000000	0,1	0,1	4,30	5,61	125,5	51,0	14,0	85,0	17,864	214,4	214,4	100,1	15	
0:46	214,8	0,0000000	0,0	0,1	4,23	5,66	124,4	51,0	14,0	84,1	17,864	214,5	215,1	100,0	18	
0:48	213,7	0,0000000	-0,1	0,2	4,19	5,87	124,4	51,0	14,1	84,1	17,864	213,6	213,8	100,0	18	
0:50	214,3	0,0000000	0,0	0,1	4,20	5,81	124,4	51,0	14,0	84,1	17,864	214,4	214,2	100,0	18	
0:52	215,2	0,0000000	0,0	0,1	4,29	5,47	124,4	51,0	14,1	84,1	17,866	214,9	215,4	99,9	21	
0:54	214,0	0,0000000	0,0	0,2	4,45	5,91	124,4	51,0	14,1	84,1	17,866	213,9	214,0	100,0	21	
0:56	214,3	0,0000000	0,0	0,1	4,63	5,83	124,4	51,0	14,1	84,1	17,866	214,3	214,2	99,9	24	
0:58	215,5	0,0000000	0,0	0,1	4,83	5,67	124,4	51,0	14,0	84,1	17,866	215,3	215,7	100,0	24	
0:60	214,6	0,0000000	0,1	0,2	5,02	5,74	124,4	51,0	14,1	84,1	17,866	214,4	214,8	100,0	24	
0:62	214,4	0,0000000	0,1	0,3	5,19	5,97	124,4	51,0	14,0	84,1	17,868	214,7	214,2	100,4	27	
0:64	215,8	0,0000000	0,2	0,3	5,29	5,83	124,4	51,0	14,1	84,1	17,868	215,6	215,9	100,3	27	
0:66	215,2	0,0000000	0,1	0,2	5,30	5,85	124,3	51,0	14,1	85,8	17,868	214,9	215,5	100,2	29	
0:68	214,7	0,0000000	0,0	0,2	5,19	5,61	124,3	51,0	14,0	85,8	17,868	214,6	214,7	100,0	29	
0:70	216,0	0,0000000	0,1	0,1	4,99	5,54	124,3	51,0	14,1	85,8	17,868	215,9	216,1	100,0	29	
