Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,LoggerTemp,Battery,Predictive Time,#NAME?,Engine RPM,Speed,Gear,Water Temp,Head Temp,Exhaust Temp,Oil Temp,Oil Press,Brake Press,Throttle Pos,Brake Pos,Clutch Pos,Steering Pos,Lambda,Lateral Acc,Inline Acc,Fuel Level,Battery Voltage,Vertical Acc,Distance on GPS Speed,Distance on Vehicle Speed,Distance,Action
249.4,33.8979,15.0,0.0168,0.7714,0.6317,-143.2043,1.0361,-34.3499,9.8,0.1098,520.7155,13.00090154,79.9898233,61.4984,3.8279,188895.0,34.0,5919.0,19.0,1.0,111.1,56.9,56.9,108.0,4.35,0.19,102.0,61.0,0.0,8.0,0.0,-0.6771,-1.3061,0.0,12.2,0.0,3656.4397,3698.3201,0.0,Brake
249.45,35.0805,15.0,0.0042,0.7673,0.5499,-142.5011,0.2472,-34.3533,9.8,0.1,2258.6445,13.00089793,79.9898204,61.5442,3.8269,188895.0,34.0,5933.3848,21.1795,1.0,111.1,56.9,56.9,108.0,4.3526,0.19,102.0,61.0,0.0,8.0,0.0,-0.74,-1.36,0.0,12.2,0.0,3656.9211,3698.6436,0.4814000000001215,Brake
249.5,36.619,14.0,0.0111,0.7517,0.5755,-143.0662,0.6211,-34.3376,9.8,0.1053,938.382,13.00089409,79.98981754,61.5901,3.8258,188895.0,34.0,5975.6924,27.5897,1.0,111.1,56.9,56.9,108.0,4.3711,0.0755,102.0,66.4231,0.0,8.0,0.0,-0.0499,-2.1882,0.0,12.2,0.0,3657.4209,3698.9673,0.9812000000001717,Brake
249.55,38.1547,15.0,0.0182,0.7178,0.5116,-143.8779,0.9961,-34.3484,9.8,0.11,609.6585,13.00089009,79.98981457,61.636,3.8248,188895.0,34.0,5985.0,29.0,1.0,111.1,56.9,56.9,108.0,4.38,0.0,102.0,70.0,0.0,8.0,0.0,1.01,-3.46,0.0,12.2,0.0,3657.9414,3699.3699,1.5017000000002554,Full Throttle
249.6,39.4604,15.0,0.0417,0.7247,0.495,-143.128,2.2097,-34.3443,9.7,0.1,284.2184,13.00088603,79.98981139,61.6818,3.8238,188895.0,34.0,5989.5,30.3846,1.0,111.5846,56.9232,56.9232,108.0,4.3823,0.0,102.0,70.0,0.0,8.0,0.0,1.01,-3.46,0.0,12.2,0.0,3658.4807,3699.7725,2.0410000000001673,Full Throttle
249.65,40.4619,15.0,0.0452,0.7492,0.5354,-142.4834,2.3217,-34.3188,9.7,0.1,277.3696,13.00088196,79.98980811,61.7277,3.8228,188895.3125,34.3188,5997.8335,32.9487,1.0,112.482,57.0681,57.0681,108.0,4.3968,0.0067,102.0,22.6667,0.0,8.0,0.0,1.2263,-3.1516,0.0,12.2,0.0,3659.0376,3700.2126,2.597900000000209,Full Throttle
249.7,41.7996,15.0,0.031,0.7597,0.525,-142.7248,1.5376,-34.3169,9.7,0.1,432.6662,13.00087761,79.98980485,61.7629,3.8218,188896.2031,35.2044,5998.0,33.0,1.0,112.5,57.1,57.1,108.0,4.4,0.0134,102.0,-1.0,0.0,7.8072,0.0,1.453,-2.9095,0.0,12.2,0.0,3659.6108,3700.6528,3.171100000000024,Full Throttle
249.75,43.2406,15.0,0.0347,0.7694,0.4951,-142.9614,1.6624,-34.3279,9.7,0.1,413.973,13.00087316,79.98980135,61.7201,3.8214,188897.0938,36.0899,5990.2632,34.1053,1.0,112.5,57.1,57.1,108.0,4.4,0.0199,102.0,-1.0,0.0,7.2048,0.0,1.3687,-3.283,0.0,12.2,0.0,3660.2026,3701.1326,3.7629000000001724,Full Throttle
249.8,44.5056,15.0,0.0451,0.7526,0.4227,-142.6587,2.0974,-34.337,9.7,0.11,337.724,13.00086856,79.98979787,61.6774,3.8209,188897.9688,36.9755,5976.918,36.0822,1.0,112.5,57.1,57.1,108.0,4.4,0.02,102.0,-1.0,0.0,7.0,0.0,1.34,-3.41,0.0,12.2,0.0,3660.8123,3701.6123,4.372600000000148,Full Throttle
249.85,45.8622,15.0,0.0397,0.7393,0.4691,-142.7026,1.7937,-34.3116,9.7,0.11,406.9317,13.00086391,79.98979421,61.6346,3.8205,188898.8594,37.861,5974.8628,38.137,1.0,112.5,57.1,57.1,108.0,4.4,0.0507,102.0,29.2466,0.0,7.0,0.0,1.2325,-3.4075,0.0,12.2,0.0,3661.4424,3702.1338,5.002700000000004,Full Throttle
249.9,47.1776,15.0,0.0304,0.7587,0.4973,-142.4256,1.3314,-34.2925,9.7,0.1047,563.9445,13.00085905,79.98979041,61.5919,3.82,188899.75,38.7466,5974.0,39.0,1.0,112.5,57.1,57.1,108.0,4.4,0.09,102.0,68.0,0.0,7.0,0.0,0.9163,-3.4001,0.0,12.2,0.0,3662.0906,3702.655,5.650900000000092,Brake
249.95,48.6123,15.0,0.0152,0.7522,0.5274,-142.2267,0.6498,-34.2581,9.6225,0.1,1190.6019,13.00085408,79.98978643,61.5492,3.8196,188900.625,39.6322,5980.8613,40.8472,1.0,112.5,57.1,57.1,108.0,4.4,0.09,102.0,68.0,0.0,7.0,0.0,0.91,-3.4,0.0,12.2,0.0,3662.7566,3703.2432,6.31690000000026,Brake
250.0,50.0189,15.0,-0.0145,0.7655,0.4799,-142.3174,-0.6007,-34.2645,9.6,0.1,1325.1453,13.00084901,79.98978249,61.5064,3.8192,188901.5156,40.5177,5998.9165,45.7083,1.0,112.5,57.1,57.1,108.0,4.4,0.0781,102.0,63.2208,0.0,6.5325,0.0,-0.1934,-2.3527,0.0,12.2,0.0,3663.4421,3703.8315,7.002400000000307,Brake
250.05,51.412,15.0,0.0113,0.7842,0.4011,-142.5871,0.4497,-34.3005,9.6,0.1,1819.4316,13.00084372,79.9897784,61.4637,3.8187,188902.4062,41.4033,6000.0,46.0,1.0,112.5,57.1,57.1,108.0,4.4,0.07,102.0,60.0,0.0,6.0,0.0,-1.45,-1.16,0.0,12.2,0.0,3664.1492,3704.4756,7.7094999999999345,Brake
250.1,52.5874,15.0,0.0499,0.8015,0.4,-142.3043,1.9528,-34.2953,9.6,0.1,428.6012,13.00083831,79.9897742,61.4209,3.8183,188903.2812,42.2888,5985.9741,47.0519,1.0,112.5351,57.1986,57.1986,107.9507,4.4,0.07,102.0,60.0,0.0,6.0,0.0,-1.45,-1.16,0.0,12.2,0.0,3664.873,3705.1199,8.433300000000145,Brake
250.15,53.782,14.0,0.0669,0.8055,0.4226,-142.3731,2.5546,-34.2822,9.6,0.1,335.0691,13.00083287,79.98976988,61.3782,3.8178,188904.1719,43.1744,5960.0,49.0,1.0,112.6,57.4884,57.4884,107.8058,4.4,0.021,102.0,50.2,0.0,6.0,0.0,-1.2745,-0.341,0.0,12.2,0.0,3665.613,3705.7869,9.173299999999927,Full Throttle
250.2,55.5897,14.0,0.0405,0.8121,0.3676,-142.5828,1.5049,-34.3003,9.6,0.1,587.889,13.00082717,79.98976552,61.3354,3.8174,188905.0625,44.0599,5960.0,49.0,1.0,112.6,57.5,57.5,107.8,4.4,0.01,102.0,48.0,0.0,6.0,0.0,-1.18,0.1,0.0,12.2,0.0,3666.3728,3706.4539,9.933100000000195,Full Throttle
250.25,57.153,15.0,0.0087,0.8279,0.3332,-142.4514,0.3167,-34.3084,9.6,0.1028,2872.6279,13.00082128,79.98976092,61.2927,3.8169,188905.9531,44.9455,5924.522,51.087,1.0,112.6,57.5,57.5,107.8,4.4055,-0.0099,102.0,28.5441,0.0,6.0,0.0,-0.6724,0.2311,0.0,12.2,0.0,3667.1587,3707.1553,10.719000000000051,Full Throttle
250.3,58.196,14.0,-0.0003,0.7934,0.3225,-141.9493,-0.0081,-34.3037,9.5475,0.11,10000.0,13.0008154,79.98975625,61.25,3.8165,188906.8281,45.8311,5909.0,52.0,1.0,112.6,57.5,57.5,107.8,4.41,-0.04,102.0,-1.0,0.0,6.0,0.0,0.8204,0.6169,0.0,12.2,0.0,3667.9614,3707.8567,11.521700000000237,Full Throttle
250.35,59.7822,14.0,-0.0716,0.7816,0.3383,-141.6254,-2.46,-34.2978,9.5,0.1177,386.7703,13.00080945,79.98975137,61.2072,3.816,188907.7188,46.7166,5888.6772,52.5806,1.0,112.6,57.5,57.5,107.8,4.4075,-0.04,102.0,-1.0,0.0,6.0,0.0,1.0239,0.3979,0.0,12.2,0.0,3668.7817,3708.5996,12.342000000000098,Full Throttle
250.4,61.6719,14.0,-0.1083,0.7797,0.2559,-141.8953,-3.6486,-34.3401,9.5,0.13,269.0169,13.00080313,79.98974639,61.1645,3.8156,188907.125,46.1282,5804.0,55.0,1.0,112.6,57.5,57.5,107.8,4.3666,0.1,102.0,44.0435,0.0,6.0,0.0,1.07,0.3,0.0,12.2,0.0,3669.6255,3709.3428,13.1858000000002,Brake
250.45,62.7748,14.0,-0.0751,0.745,0.2514,-142.5822,-2.4768,-34.3337,9.5,0.1328,403.3799,13.00079662,79.98974158,61.1217,3.8152,188905.8438,44.8462,5804.0,55.0,1.0,112.6,57.5,57.5,107.8,4.3334,0.1025,102.0,55.1831,0.0,6.0,0.0,1.0039,-0.0443,0.0,12.2,0.0,3670.4917,3710.1228,14.052000000000135,Brake
250.5,63.7807,14.0,-0.0444,0.7581,0.2723,-142.866,-1.4329,-34.3118,9.5,0.1347,708.4035,13.00079013,79.98973656,61.079,3.8147,188904.5625,43.5641,5645.2905,57.3226,1.0,112.6,57.5,57.5,107.8,4.31,-0.08,102.0,18.0,0.0,6.0,0.0,0.7286,-1.4791,0.0,12.2,0.0,3671.3721,3710.9028,14.932400000000143,Full Throttle
250.55,64.7779,14.0,-0.0254,0.7562,0.281,-142.7693,-0.8031,-34.2928,9.5,0.1377,1283.7373,13.00078357,79.98973155,61.0362,3.8143,188903.2812,42.2821,5394.0,61.0,1.0,112.6,57.5,57.5,107.8,4.31,-0.08,102.0,18.0,0.0,6.0,0.0,0.69,-1.68,0.0,12.2,0.0,3672.2659,3711.7246,15.826199999999972,Full Throttle
250.6,66.3613,14.0,0.0193,0.7447,0.2717,-143.1631,0.5964,-34.2875,9.5,0.17,1770.9371,13.00077666,79.98972629,60.9935,3.8138,188902.0,41.0,5394.0,61.0,1.0,112.6,57.5,57.5,107.8,4.31,-0.08,102.0,18.0,0.0,5.5976,0.0,0.0099,-2.5171,0.0,12.2,0.0,3673.1768,3712.5461,16.737100000000282,Full Throttle
250.65,67.672,14.0,0.0396,0.7726,0.2814,-143.0008,1.1995,-34.2849,9.5,0.1727,897.8833,13.00076976,79.98972102,60.9507,3.8134,188900.7188,39.7179,5356.6665,63.6667,1.0,112.0,57.6841,57.6841,107.8921,4.2962,-0.0378,102.0,43.6349,0.0,5.0,0.0,-1.0,-3.76,0.0,12.2,0.0,3674.1101,3713.4282,17.670399999999972,Full Throttle
250.7,69.2434,14.0,0.0612,0.8137,0.2283,-142.6854,1.8133,-34.3072,9.5,0.1852,607.7487,13.00076269,79.98971544,60.9224,3.8131,188899.4375,38.4359,5362.3115,66.013,1.0,111.7,57.9,57.9,108.0,4.2758,0.0639,102.0,97.1558,0.0,5.0,0.0,-1.0,-3.76,0.0,12.2,0.0,3675.0627,3714.3103,18.623000000000047,Brake
250.75,70.8984,14.0,0.0954,0.8336,0.1452,-142.0659,2.7709,-34.3575,9.4225,0.2055,407.2226,13.00075553,79.98970961,60.9993,3.8144,188898.1562,37.1538,5409.0649,67.961,1.0,111.7,57.9,57.9,108.0,4.2629,0.0964,102.0,48.4545,0.0,5.0,0.0,-0.1749,-3.2986,0.0,12.2,0.0,3676.0376,3715.241,19.59790000000021,Brake
250.8,72.1365,13.0,0.137,0.8244,0.1273,-141.122,3.9008,-34.375,9.4,0.23,294.3233,13.00074844,79.9897036,61.0762,3.8156,188896.875,35.8718,5410.0,68.0,1.0,111.7,57.9,57.9,108.0,4.26,0.11,102.0,28.0,0.0,5.0,0.0,0.52,-2.91,0.0,12.2,0.0,3677.0312,3716.1716,20.591499999999996,Full Throttle
250.85,73.866,12.0,0.1212,0.8434,0.1283,-141.6989,3.3852,-34.3743,9.4,0.2272,347.278,13.00074088,79.98969777,61.1532,3.8169,188895.5938,34.5897,5459.6533,69.52,1.0,111.7,57.9,57.9,108.0,4.2704,0.0904,102.0,40.2051,0.0,4.9103,0.0,0.599,-2.6596,0.0,12.2,0.0,3678.0483,3717.1367,21.608600000000024,Brake
250.9,75.344,13.0,0.0601,0.8631,0.1661,-142.245,1.652,-34.3419,9.4,0.2148,725.8726,13.00073311,79.98969182,61.2301,3.8181,188894.3125,33.3077,5508.0,71.0,1.0,111.7,57.9,57.9,108.0,4.2896,0.0327,102.0,76.1026,0.0,4.2692,0.0,1.1631,-0.8712,0.0,12.2,0.0,3679.0874,3718.1021,22.647699999999986,Full Throttle
250.95,76.4373,13.0,0.0019,0.8169,0.1718,-142.152,0.0542,-34.3198,9.4,0.2023,10000.0,13.00072544,79.98968577,61.3071,3.8194,188892.6094,31.6048,5508.0,71.0,1.0,111.7,57.9,57.9,108.0,4.29,0.0044,102.0,86.6,0.0,4.0,0.0,0.9981,0.1659,0.0,12.2,0.0,3680.1421,3719.1133,23.702400000000125,Full Throttle
251.0,78.0692,14.0,-0.0266,0.7485,0.1959,-142.0504,-0.6989,-34.304,9.4,0.1895,1777.7635,13.00071749,79.9896794,61.384,3.8206,188890.7656,29.7689,5729.0391,74.5844,1.0,111.7,57.9,57.9,108.0,4.3007,-0.01,102.0,89.0,0.0,4.0,0.0,0.43,0.57,0.0,12.2,0.0,3681.2153,3720.1243,24.77559999999994,Full Throttle
251.05,79.2537,14.0,-0.0179,0.7091,0.2041,-142.037,-0.4611,-34.2898,9.4,0.1673,2735.7209,13.00070955,79.98967314,61.4609,3.8219,188888.9375,27.933,5878.0,77.0,1.0,111.7,57.9,57.9,108.0,4.31,-0.01,102.0,89.0,0.0,4.0,0.0,0.43,0.57,0.0,12.2,0.0,3682.3101,3721.1799,25.870400000000245,Full Throttle
251.1,80.3569,14.0,-0.0405,0.6748,0.2296,-142.0757,-1.0288,-34.2663,9.4,0.1495,1243.079,13.00070145,79.98966672,61.5379,3.8231,188887.0938,26.0972,5924.4229,77.4359,1.0,111.8526,57.9269,57.9269,108.0,4.3145,-0.01,102.0,89.0,0.0,4.0,0.0,0.43,0.57,0.0,12.2,0.0,3683.4199,3722.2356,26.980199999999968,Full Throttle
251.15,81.5671,14.0,-0.0289,0.6292,0.2393,-141.9954,-0.7258,-34.2509,9.4,0.14,1788.5758,13.00069323,79.98966015,61.6148,3.8243,188885.2656,24.2613,6060.9614,78.7179,1.0,112.3013,58.1192,58.1192,108.0,4.3465,-0.0154,102.0,100.9429,0.0,4.0,0.0,0.306,0.19,0.0,12.2,0.0,3684.5454,3723.3218,28.10570000000007,Full Throttle
