Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,LoggerTemp,Battery,Predictive Time,#NAME?,Engine RPM,Speed,Gear,Water Temp,Head Temp,Exhaust Temp,Oil Temp,Oil Press,Brake Press,Throttle Pos,Brake Pos,Clutch Pos,Steering Pos,Lambda,Lateral Acc,Inline Acc,Fuel Level,Battery Voltage,Vertical Acc,Distance on GPS Speed,Distance on Vehicle Speed,Distance,Action
1262.2,151.4961,15.0,0.0867,0.3398,0.4522,-143.05,1.1607,-53.4145,3.6,0.09,2077.2502,13.00094518,79.98986021,54.1405,3.9323,100990.2891,164.2857,5548.9521,150.5238,4.0,108.6667,49.4371,49.4371,129.9629,4.1885,-0.0373,101.7936,-40.619,0.0,3.9516,0.0,0.4687,1.2347,0.0,12.3,0.0,40132.0273,40183.9453,0.0,Full Throttle
1262.25,152.079,14.0,-0.005,0.3097,0.4504,-143.0538,-0.0662,-53.384,3.6,0.09,10000.0,13.00092981,79.98984847,54.1615,3.9325,100947.4297,121.4286,5588.0,151.0,4.0,109.0,49.5,49.5,129.9,4.22,-0.45,101.0,-193.0,0.0,3.1452,0.0,0.1139,0.146,0.0,12.3,0.0,40134.1406,40186.0391,2.093800000002375,Full Throttle
1262.3,152.5341,15.0,-0.0305,0.2835,0.4369,-143.1393,-0.4049,-53.3699,3.6,0.0847,5995.4385,13.00091442,79.98983677,54.1825,3.9326,100904.5703,78.5714,5588.0,151.0,4.0,109.0,49.5,49.5,129.9,4.22,-0.45,101.0,-193.0,0.0,3.0,0.0,0.05,-0.05,0.0,12.3,0.0,40136.2656,40188.1328,4.1875,Full Throttle
1262.35,152.9872,15.0,-0.0104,0.2731,0.4357,-143.1408,-0.1373,-53.3539,3.6,0.0878,10000.0,13.00089904,79.98982498,54.2034,3.9328,100861.7109,35.7143,5588.0,151.0,4.0,109.0,49.5,49.5,129.9,4.22,-0.45,101.0,-193.0,0.0,3.0,0.0,0.05,-0.05,0.0,12.3,0.0,40138.3906,40190.2422,6.296900000001187,Full Throttle
1262.4,153.618,14.0,0.0025,0.2708,0.4274,-142.9551,0.0327,-53.3234,3.6,0.09,10000.0,13.00088357,79.98981314,54.2244,3.933,100823.9219,-2.0759,5623.8027,152.7324,4.0,109.0,49.5,49.5,129.9,4.2344,-0.383,101.0,-154.0,0.0,2.9545,0.0,0.0691,-0.0645,0.0,12.3,0.0,40140.5234,40192.3516,8.406300000002375,Full Throttle
1262.45,154.1553,14.0,0.0747,0.2711,0.4284,-143.0432,0.9824,-53.3005,3.6,0.09,2497.3706,13.00086807,79.98980126,54.2453,3.9332,100823.2891,-2.7089,5650.0,154.0,4.0,109.0,49.5,49.5,129.9,4.2626,-0.1252,101.0,-4.0,0.0,2.197,0.0,0.3873,-0.307,0.0,12.3,0.0,40142.668,40194.4844,10.539100000001781,Full Throttle
1262.5,154.6062,14.0,0.1057,0.2746,0.4405,-143.171,1.3865,-53.2708,3.6,0.0953,1774.7399,13.00085242,79.98978935,54.2663,3.9334,100822.6562,-3.3418,5651.1802,154.0492,4.0,109.0,49.5,49.5,129.9,4.2771,-0.4021,101.0,-1.0,0.0,2.5781,0.0,-0.0214,-0.5319,0.0,12.3,0.0,40144.8125,40196.6133,12.667999999997846,Full Throttle
1262.55,155.1499,14.0,0.1001,0.2882,0.4379,-143.1529,1.3095,-53.2484,3.6,0.1,1885.6614,13.00083679,79.98977743,54.2873,3.9336,100822.0234,-3.9747,5670.8525,154.8689,4.0,109.0,49.5,49.5,129.9,4.28,-0.5,101.0,-1.0,0.0,3.0,0.0,-0.38,-0.65,0.0,12.3,0.0,40146.9688,40198.7656,14.820299999999406,Full Throttle
1262.6,155.6085,14.0,0.0714,0.2924,0.4383,-143.082,0.9314,-53.2175,3.6,0.1005,2658.9822,13.00082119,79.98976537,54.3082,3.9338,100821.3906,-4.6076,5720.1406,155.5916,4.0,109.0,49.5,49.5,129.9,4.2888,-0.4522,101.0,-4160.9531,0.0,3.1343,0.0,-0.3652,-0.5855,0.0,12.3,0.0,40149.1328,40200.9141,16.968800000002375,Full Throttle
1262.65,155.9167,13.0,0.1049,0.2944,0.4344,-142.6247,1.3624,-53.2121,3.6,0.12,1821.4165,13.00080562,79.98975318,54.3292,3.934,100820.8438,-5.1597,5752.0,156.0,4.0,109.0,49.5,49.5,129.9,4.3,-0.32,101.0,-15662.0,0.0,3.8806,0.0,-0.2831,-0.2273,0.0,12.3,0.0,40151.3008,40203.0781,19.132799999999406,Full Throttle
