Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,LoggerTemp,Battery,Predictive Time,Engine RPM,Speed,Gear,Water Temp,Head Temp,Exhaust Temp,Oil Temp,Oil Press,Brake Press,Throttle Pos,Brake Pos,Clutch Pos,Steering Pos,Lambda,Lateral Acc,Inline Acc,Fuel Level,Battery Voltage,Vertical Acc,Distance on GPS Speed,Distance on Vehicle Speed,Unnamed: 38,Distance,Action
247.8,60.1671,15.0,-0.028,0.5948,0.2431,-139.3009,-0.9489,-37.8304,7.0,0.1,1009.1486,13.00097187,79.98983035,63.5173,3.8537,105336.0,4712.0,56.0,1.0,96.4,47.3,47.3,93.7,4.12,-0.07,44.0,-1.0,0.0,7.0,0.0,-0.72,-1.06,0.0,12.3,0.0,3673.7795,3715.1082,,0.0,Turning
247.85,61.4624,15.0,-0.049,0.6142,0.2059,-139.4159,-1.6283,-37.8345,7.0,0.1,600.7507,13.00096589,79.98982518,63.5516,3.8534,105336.0,4703.3906,56.8906,1.0,96.4,47.3,47.3,93.7,4.12,-0.07,44.0,-1.0,0.0,7.0,0.0,-0.72,-1.06,0.0,12.3,0.0,3674.627,3715.9067,,0.8474999999998545,Turning
247.9,63.0137,15.0,-0.0881,0.6441,0.196,-139.8614,-2.8801,-37.8378,7.0,0.1,348.2209,13.00095968,79.98981993,63.5858,3.8531,105336.0,4683.0,59.0,1.0,96.4,47.3,47.3,93.7,4.12,-0.0621,45.5806,-1.0,0.0,4.377,0.0,-0.2872,-0.5944,0.0,12.255,0.0,3675.4941,3716.7053,,1.7145999999997912,Turning
247.95,64.02,15.0,-0.0891,0.6282,0.2415,-140.1205,-2.8636,-37.8025,7.0,0.1,355.8084,13.00095339,79.9898146,63.62,3.8527,105336.0,4683.0,59.0,1.0,96.4,47.3,47.3,93.7,4.12,-0.06,46.0,-1.0,0.0,3.0,0.0,-0.06,-0.35,0.0,12.2,0.0,3676.3774,3717.5249,,2.597899999999754,Turning
248.0,64.9488,15.0,-0.0669,0.6103,0.2624,-140.0639,-2.1115,-37.7972,7.0,0.1,489.559,13.00094712,79.98980922,63.6543,3.8524,105336.0,4683.0,59.0,1.0,96.4,47.3412,47.3412,93.7824,4.12,-0.0783,48.3478,-1.0,0.0,2.791,0.0,0.033,-0.4618,0.0,12.2,0.0,3677.2734,3718.3442,,3.4938999999999396,Turning
248.05,65.8316,14.0,-0.0702,0.6059,0.3186,-140.1195,-2.1776,-37.7534,7.0,0.09,481.1411,13.00094063,79.98980373,63.6885,3.8521,105336.0,4757.1357,60.5254,1.0,96.6441,47.4,47.4,93.9,4.12,-0.129,54.8696,-1.0,0.0,1.2985,0.0,0.6972,-1.2603,0.0,12.2,0.0,3678.1838,3719.2002,,4.404299999999694,Turning
248.1,66.9673,14.0,-0.062,0.592,0.3278,-140.1704,-1.8966,-37.7322,7.0,0.095,561.9526,13.00093404,79.9897982,63.7227,3.8517,105336.0,4946.3145,64.2571,1.0,97.2,47.4,47.4,93.9,4.12,-0.13,55.0,-1.0,0.0,0.4667,0.0,0.83,-1.42,0.0,12.2,0.0,3679.1084,3720.0562,,5.328899999999976,Turning
248.15,68.1095,14.0,-0.0314,0.5997,0.3405,-140.2861,-0.9449,-37.7102,7.0,0.1,1147.1626,13.00092739,79.98979254,63.7569,3.8514,105336.0,5059.1714,65.6857,1.0,97.2,47.4,47.4,93.9,4.1333,-0.13,58.8667,-1.0,0.0,0.0,0.0,0.83,-1.1569,0.0,12.2,0.0,3680.0483,3720.9678,,6.268799999999828,Turning
248.2,69.3096,14.0,0.0156,0.5939,0.3072,-140.4926,0.4608,-37.7236,7.0,0.1,2394.116,13.00092053,79.98978683,63.7912,3.8511,105336.0,5159.9741,67.013,1.0,97.2,47.4,47.4,93.9,4.1515,-0.1497,63.4935,-1.0,0.0,0.0,0.0,0.83,-0.28,0.0,12.2,0.0,3681.0039,3721.8794,,7.22440000000006,Turning
248.25,70.3416,15.0,0.0789,0.5576,0.2962,-140.4643,2.2978,-37.7206,7.0,0.1,487.2241,13.00091359,79.9897811,63.8254,3.8507,105336.0,5234.0,68.0,1.0,97.2,47.4,47.4,93.9,4.17,-0.2017,64.7922,-1.0,0.0,3.5211,0.0,0.8863,-0.0828,0.0,12.2,0.0,3681.9766,3722.8169,,8.197099999999864,Turning
248.3,71.1072,15.0,0.1393,0.5453,0.3158,-140.1719,4.0023,-37.6967,7.0,0.1,282.761,13.0009067,79.98977517,63.8596,3.8504,105336.0,5234.0,68.0,1.0,97.2,47.4,47.4,93.9,4.17,-0.21,65.0,-1.0,0.0,5.0,0.0,0.91,0.0,0.0,12.2,0.0,3682.9607,3723.7546,,9.18119999999999,Turning
248.35,72.0266,15.0,0.1459,0.5673,0.3222,-139.6682,4.1383,-37.6804,7.0,0.1,277.0091,13.00089975,79.98976916,63.8939,3.8501,105336.0,5234.0,68.0,1.0,97.2,47.4,47.4,93.9,4.17,-0.21,65.0,-1.0,0.0,7.3824,0.0,0.8226,-0.3574,0.0,12.2,0.0,3683.9561,3724.7065,,10.17659999999978,Turning
248.4,73.0347,15.0,0.0958,0.6008,0.3426,-139.5732,2.681,-37.6658,6.9,0.11,433.5704,13.00089267,79.98976305,63.9281,3.8497,105336.0,5320.4639,69.1014,1.0,97.2,47.4,47.4,93.9,4.1942,-0.1905,65.0,-1.0,0.0,14.0,0.0,0.58,-1.35,0.0,12.2,0.0,3684.9646,3725.6587,,11.185099999999693,Turning
248.45,74.1765,15.0,0.0929,0.608,0.3347,-139.2528,2.562,-37.6655,6.9,0.1075,460.7907,13.00088555,79.9897567,63.9571,3.8494,105336.0,5391.0,70.0,1.0,97.2,47.4,47.4,93.9,4.23,-0.0822,65.0,-1.0,0.0,14.0,0.0,0.58,-1.35,0.0,12.2,0.0,3685.9902,3726.6284,,12.210700000000088,Turning
248.5,75.3632,15.0,0.0846,0.6061,0.3261,-139.3345,2.2984,-37.6552,6.9,0.1,521.8611,13.00087822,79.98975036,63.9268,3.8497,105336.0,5423.6323,70.5147,1.0,97.2618,47.4,47.4,93.9,4.23,-0.08,65.0,-1.0,0.0,14.0,0.0,0.58,-1.35,0.0,12.2,0.0,3687.031,3727.5979,,13.25149999999985,Turning
